Company/Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does
Tolet for Students,Hospitality,Seed,730000,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education."
Chai Kings,"Food and Beverage, Tea",Seed,2920000,Chennai,Chai Kings is a tea retail chain
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,5840000,Kanpur,Dainik Jagran is a media and communications group.
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,2920000,Bengaluru,Playtoome is a live entertainment destination
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,1825000,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.
Arogya MedTech,"Health Care, Medical",Seed,2190000,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.
Propshop24,E-Commerce,Seed,500000,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world."
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000,New Delhi,To bring health issues to people in their language.
MissMalini Entertainment,,Seed,15184000,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians."
Rooter,Sports,Seed,6570000,India,Rooter is a mobile-based platform
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000,Bangalore,Zest is India's first completely automated consumer digital lending platform.
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,3515000,Bengaluru,Advancing AI compute
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers
Sattviko,"Food Processing, Retail",Angel,3515000,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!
Sensibull,Trading Platform,Seed,3650000,Bangalore,Investment Management Platform
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,3515000,New Delhi,Bombay Shaving Company is a Men's grooming startup
MedCords,Wellness,Seed,3854400,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier
University Living,Education,Seed,3515000,New Delhi,University Living is an online global student housing marketplace.
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,3515000,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.
Enakshi,Fashion,Seed,1168000,Ahmedabad,Enakshi is an online apparel brand for women.
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,8760,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.
Inthree Access,"Consulting, Retail, Social",Series A,4000000,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000,Bangalore,BUGWORKS is a drug discovery company.
Guardian.in,Health Care,Seed,3515000,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans."
Wimoxez,Internet,Seed,20000,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow."
India Accelerator,"Communities, Coworking, Incubators",Angel,3515000,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,3515000,Azadpur,Premium Personal Assistance service
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences."
Propelld,"Education, Financial Services, FinTech",Seed,250000,Bengaluru,Propelld is a student education financing platform.
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,3515000,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.
Carmesi,Health Care,Seed,4964000,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.
OckyPocky,"E-Learning, Internet, Video Games",Angel,3515000,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,49932000,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors."
WHR,"Health Care, Information Technology",Seed,143145,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible."
Asteria Aerospace,Aerospace,Seed,3515000,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,87600000,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar"
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,3515000,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.
SBI Life,Insurance,Private Equity,742000000,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.
Studds Accessories,E-Commerce,Private Equity,146000000,Faridabad,Studds Accessories is a scooter accessories service provider in India
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,292000000,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget."
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,3980000,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions"
Rays Power Infra,"Energy, Solar",Venture - Series Unknown,292000000,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection"
Khidki,"Artificial Intelligence, Social",Seed,3515000,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions
LetsTransport,"Logistics, Transportation, Travel",Series B,146000000,Bangalore,Lets transport is a logistics solution provider.
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,14600,Kota,Next Digital Solutions is website design & Digital Marketing development company.
Portea Medical,"Health Care, Hospital, Medical",Debt Financing,36500000,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,292000000,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market."
Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge."
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,3515000,Anand,Nutrisattva is a protein innovation compan
Toppr,"EdTech, Education, Knowledge Management",Series C,35000000,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.
Jagaran Microfin,,Debt Financing,80300000,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial
Vivriti Capital,Financial Services,Venture - Series Unknown,28500000,Chennai,Vivriti Capital is an online platform for institutional debt in India.
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,4380000,New Delhi,Be U is India's first subscription based Salon Chain.
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals."
